,disease,section,content
518,Gallstones,Long-term outlook,"If you undergo gallbladder surgery, your outlook is most often positive. For instance, less than0.5%of people who get laparoscopic surgery have fatal complications. If you aren’t able to have surgery and decide to take medication to dissolve the stones, the gallstones may return, so you and a doctor will need to monitor your progress."
519,Gallstones,Frequently asked questions,"Gallstones can sometimes pass through your digestive system on their own. However, you’ll most likely need treatment to get rid of them if they’re causing symptoms. Gallstones most often don’t cause any symptoms. However, if they block your gallbladder duct, you may experience severe abdominal pain that could last up to5 hours. In most cases, you only require gallstone treatment if you experience symptoms. Sometimes, untreated gallstones may lead tocomplicationslike pancreatitis, jaundice, and gallbladder infection or inflammation."
520,Gallstones,The bottom line,"Gallstones are deposits made in your gallbladder from substances found in bile, such as cholesterol and bilirubin. Most people don’t experience any symptoms of gallstones, but they could cause severe abdominal pain if they get caught in a bile duct. Speak with a healthcare professional if you experience gallbladder symptoms accompanied by nausea, fever, and vomiting. They could provide a proper diagnosis and treatment plan for you."
521,Genital Herpes,Overview,"Most people have a form of the herpes simplex virus (HSV). HSV does not always cause symptoms, but it’s important to get tested if you develop unusual pain, swelling, or sores around the genitals or anus. Genital herpes is a common sexually transmitted infection (STI). When symptoms occur, it’s considered a sexually transmitted disease (STD). Herpetic sores are painful blisters (fluid-filled bumps) that can break open and ooze fluid."
522,Genital Herpes,What causes genital herpes?,"Two types of theherpes simplex virus (HSV)cause genital herpes: HSV-1usually causescold sores, but it can also cause genital herpes. HSV-2usually causes genital herpes, but it can also cause cold sores. The virus is usually transmitted through intimate skin-to-skin contact. However, it can also be spread through bodily fluids, including: breast milk saliva semen vaginal secretions The viruses enter the body throughskin abrasionsor mucous membranes. Mucous membranes are the thin layers of tissue that line the openings of your body. They can be found in your nose, mouth, anus, and genitals. Once the viruses are inside the body, they incorporate themselves into the cells. Viruses tend to multiply or adapt to their environments very easily, which makes treating them difficult."
523,Genital Herpes,What does a herpes sore look like?,"Herpes sores initially look like small pus-filled bumps, similar to pimples or blisters. These sores can break open and ooze liquid, which forms a crust. One sore might be on its own, or there might be a cluster of sores. Herpes sores can occur on the skin in or around the mouth (cold sores) or around the genitals or anus."
524,Genital Herpes,How do you recognize the symptoms of genital herpes?,"The appearance of blisters is known as an outbreak. Some people experience an initial outbreak anywhere from 2 to 20 days after exposure to HSV. The affected area may start to itch or tingle before blisters appear on or around the: anus buttocks groin (where the lower abdomen meets the inner thigh) gums labia mouth penis mons pubis (pubic mound) scrotum vaginal opening vulva The blisters may become ulcerated (open sores) and ooze fluid. A crust may appear over the sores within a week of the outbreak. You may also develop swollenlymph glands, headaches, body aches, and fever. However, many people do not experience any symptoms for months or even years. If symptoms do occur, an initial outbreak usually lasts 2 to 4 weeks. The length of an outbreak usually lessens over time. It’s important to understand that even if the symptoms disappear, the virus is still present in the body and can be transmitted to others."
525,Genital Herpes,How is genital herpes diagnosed?,"Make an appointment with a healthcare professional if you suspect that you’ve been exposed to HSV or develop unusual sores.If you need help finding a primary care doctor, then check out our FindCare tool here. A blood test can detect HSV before a potential outbreak occurs. However, if you’re experiencing visible symptoms, a healthcare professional may be able to make a diagnosis based on a visual exam. They may also swab the affected area to collect a sample for testing. If an in-person appointment isn’t an option, anat-home test kitis another option to consider."
526,Genital Herpes,How is genital herpes treated?,"Although there’s no cure for herpes, it can be treated with medication. Antiviral drugs may help speed up the healing time for sores and reduce pain. Medications may be taken at the first signs of an outbreak (tingling, itching, and other symptoms) to help reduce the symptoms. Use mild cleansers when bathing or showering in warm water. Keep the affected site clean and dry. Wear loose cotton clothing to keep the area comfortable."
527,Genital Herpes,Other frequently asked questions,"According to the World Health Organization, about3.8 billion people under age 50have HSV-1. Around 520 million people ages 15 to 49 have HSV-2. According to the World Health Organization, about3.8 billion people under age 50have HSV-1. Around 520 million people ages 15 to 49 have HSV-2. Condoms,dental dams, and other barrier methods can help reduce the risk of STI and STD transmission during sexual activity. Long-term use of antiviral medication can help reduce the risk of transmission between an HSV-positive and an HSV-negative partner. Condoms,dental dams, and other barrier methods can help reduce the risk of STI and STD transmission during sexual activity. Long-term use of antiviral medication can help reduce the risk of transmission between an HSV-positive and an HSV-negative partner. It’s important to consult with a healthcare professional as soon as you know you’re pregnant. HSV can be transmitted to a newborn if you have an active outbreak during a vaginal delivery. Your healthcare professional will discuss what to expect before, during, and after birth. They can prescribepregnancy-safe treatmentsto ensure a healthy vaginal or cesarean delivery. It’s important to consult with a healthcare professional as soon as you know you’re pregnant. HSV can be transmitted to a newborn if you have an active outbreak during a vaginal delivery. Your healthcare professional will discuss what to expect before, during, and after birth. They can prescribepregnancy-safe treatmentsto ensure a healthy vaginal or cesarean delivery."
528,Genital Herpes,The bottom line,"HSV is primarily transmitted through sexual activity. The virus stays dormant within the body until something triggers an outbreak. Outbreaks can happen due to stress, sickness, or fatigue. It’s important to get tested if you have unusual symptoms or suspect that you’ve been exposed. You may be able to get free or lower cost STI screening at your local health department, community clinic, or Planned Parenthood. There isn’t a cure for HSV, but the condition can be managed with antiviral medication. Many people do not experience symptoms after an initial outbreak, if at all."
529,GERD,Overview,"Many people may experience acid reflux, indigestion, or heartburn from time to time. However, if you experience acid reflux symptoms more than twice per week, you may have gastroesophageal reflux disease (GERD), which affects about 20% of people in the United States. GERD commonly causes acid reflux, which may result from improper functioning of the lower esophageal sphincter (LES). The LES is a circular band of muscle at the end of your esophagus that normally tightens and closes after allowing food to pass through. Treatment options include lifestyle measures (like avoiding trigger foods, maintaining moderate weight, avoiding smoking), medications (such as proton pump inhibitors, antacids, H2 receptor blockers), and in some cases, surgery may be recommended if other approaches haven’t stopped symptoms. Many people may experience acid reflux, indigestion, or heartburn from time to time. However, if you experience acid reflux symptoms more than twice per week, you may havegastroesophageal reflux disease (GERD). Estimates suggest GERD potentially affectsup to 6.8 million Canadians. If left untreated, it may lead to serious complications. Read on to learn more about the symptoms, causes, and treatments for GERD. Heartburn can happen for many reasons, like eating certain foods or even taking some medications. Over-the-counter (OTC) products may help ease the discomfort. Gaviscon® Extra Strength Fruit Blend Antacid Tabletsare formulated for heartburn, acid reflux, and GERD relief — day or night. They are designed to provide fast-acting, long-lasting relief from symptoms.* *sponsored"
530,GERD,Symptoms of GERD,"The most commonsymptom of GERDis persistent heartburn, which may involve: a burning feeling in your stomach that may rise to your chest, neck, and throat a sour or bitter taste at the back of your mouth regurgitation of food or liquid from your stomach into your mouth Other possible symptoms of GERD include: a feeling of fullness or of a lump in the back of your throat (globus sensation) chronic cough a hoarse voice bad breath In some cases, people may experiencealarmsymptoms associated with GERD. These are typically persistent and could progressively worsen despite medical treatment. Alarm symptoms may also indicate an underlying condition. Alarm symptoms may include: difficulty swallowing (dysphagia) pain when swallowing (odynophagia) nauseaor vomiting weight loss anemia bleeding If you’re experiencing any of these, get medical attention. Heartburn andheart attacksaretwo common causesof chest pain. However, their causes and sensations are typically different: Heartburnmay occur when acidic contents of your stomach move back up into your esophagus. This may cause a burning sensation that rises from your stomach and radiates into your chest. Heart attackis when your heart doesn’t get enough blood and oxygen due to a reduced flow of blood in one or more major arteries. This may cause sudden, uncomfortable, or sharp pain in the center or left side of your chest that feels like pressure or squeezing. It could spread to your neck, jaw, and shoulder too. If you’re feeling anyheart attack symptoms, such as shortness of breath or faintness, get medical assistance immediately. It’s normal for babies to sometimes spit up food or vomit. But if your baby is frequently spitting or vomiting, they may have GERD. Other signs and symptoms of GERD in infants might include: refusal to eat trouble swallowing gagging or choking wet burps or hiccups irritability or arching of the back during or after feeding weight loss or poor growth recurring cough or pneumonia difficulty sleeping If you suspect that your baby might have GERD or another health condition, speak with a doctor."
531,GERD,Causes of GERD,"GERD commonly causes acid reflux, which may result from improper functioning of the lower esophageal sphincter (LES). The LES is a circular band of muscle at the end of youresophagus. When you swallow, it relaxes and opens up to allow food and liquid to travel from your mouth to your stomach. Then, it tightens and closes again. Acid reflux happens when your LES doesn’t tighten or close properly. This allows digestive juices and other contents of your stomach to rise up into your esophagus. Your LES may not function properly if you: Have a hiatal hernia:This occurs when part of your stomachmoves above your diaphragmtoward your chest. If your diaphragm is compromised, it may prevent your LES from functioning properly. Frequently eat large meals:This may cause distension of the upper part of your stomach. This distension sometimes means there isn’t enough pressure on the LES, and it doesn’t close properly. Lie down too soon after meals:This might not create enough pressure for the LES to function properly. Otherfactors, including those listed below, may also contribute to having heartburn more than twice a week. Lifestyle factors that may contribute to persistent reflux with esophageal inflammation include: smokingor being exposed to secondhand smoke eating large meals before lying down using an abundance ofnonsteroidal anti-inflammatory drugssuch as aspirin and ibuprofen Health factors such as the following may contribute to GERD: obesity pregnancy connective tissue disorders older age Other health conditions that can worsen the symptoms of GERD include: anxiety pregnancy asthma irritable bowel syndrome Studies suggest that drinking alcohol mayincreasethe risk of GERD. The greater the quantity of alcohol and frequency of consumption, the greater the correlation. If you’ve received a diagnosis of GERD, limiting or stopping alcohol intake may provide symptom relief. Somefoodsmay trigger GERD symptoms more than others, including: high fat foods such as fried and fast foods spicy foods certain fruits and vegetables, such as pineapple, tomato, and citrus certain liquids, such as coffee, tea, and carbonated drinks"
532,GERD,Diagnosis,"A doctor will typically take your medical history and perform aphysical examinationto assess your symptoms. If you’re experiencing alarm symptoms, such as chest pain or trouble swallowing, they may refer you to agastroenterologistor request certain tests, including: Ambulatory 24-hour pH probe:A small tube is inserted through your nose into your esophagus. A pH sensor at the tip of the tube measures how much acid exposure your esophagus is getting and sends the data to a portable computer. You wear this tube for about 24 hours. Esophagram:After you drink abarium solution, healthcare professionals use X-ray imaging to examine your upper digestive tract. Upper endoscopy:A flexible tube with atiny camerais threaded into your esophagus to examine it and collect a tissue sample (biopsy) if needed. Esophageal manometry:A flexible tube is passed through your nose into your esophagus tomeasurethe strength of your esophageal muscles. Esophageal pH monitoring:A monitor is inserted into your esophagus to help healthcare professionals find out how acid is regulated in your body over a few days. After arriving at a diagnosis, your doctor will speak with you to decide what treatment plan will work best for you."
533,GERD,Treatment for GERD,"To manage and relieve symptoms of GERD, certainhome remediesand lifestyle habits may help, including: breathing exercises consumingfoodsandliquidsthat may help with your acid reflux making efforts to maintain a moderate weight quitting smoking, if you smoke avoiding eating big, heavy meals in the evening waiting 2–3 hours after eating to lie down elevating your head during sleep If lifestyle strategies alone don’t help treat GERD, a doctor might prescribe medications to decrease your stomach acid secretion, since acid reflux is a common manifestation of GERD. These may include: proton pump inhibitors antacids H2 receptor blockers Consult a doctor before taking medications because they may have negative side effects. In most cases, lifestyle strategies and medications are enough to prevent and relieve symptoms of GERD. However, a doctor might recommend surgery if these approaches haven’t stopped your symptoms or if you’ve developed complications. Possiblesurgery optionsinclude: fundoplication LINX reflux management system bariatric surgery"
534,GERD,Complications of untreated GERD,"For most people, GERD doesn’t cause serious complications. However, in rare cases, it may lead to serious or life threatening health problems such as: esophagitis, which is inflammation of your esophagus esophageal stricture, which happens when your esophagus narrows or tightens Barrett’s esophagus, which involves permanent changes to the lining of your esophagus esophageal cancer, which affects a small portion of people with Barrett’s esophagus tooth enamel erosion, gum disease, or other dental problems To lower your chances of complications, it’s important to take the steps to prevent, manage, and treat symptoms of GERD."
535,GERD,Frequently asked questions,"Only a healthcare professional may provide an accurate GERD diagnosis. If you’re experiencing acid reflux symptoms or indigestion more than twice per week, you may have GERD. A healthcare professional may want to assess your symptoms, perform a physical exam, and consider your medical history to rule out other possible causes. Not everyone experiences the same symptoms of GERD or with the same intensity. Also, there’s not a specific number of symptoms of the condition. The most common GERD symptom is persistent acid reflux, which may involve a burning feeling in your upper stomach, chest, or throat, a sour or bitter taste in your mouth, and regurgitation of food or liquid back into your mouth. Chronic cough, a hoarse voice, nausea, pain swallowing, and weight loss may also be symptoms of GERD. Other conditions may cause symptoms similar to those of GERD. For example,peptic ulcers,esophagitis(inflammation of the food pipe),gallstones,anxiety,hiatal hernias, andesophageal cancer. A healthcare professional can help you explore possible causes of acid reflux and related symptoms. GERD may start as mild and infrequent symptoms (stage 1) and progress to moderate symptoms that present at least twice per week (stage 2). Unmanaged GERD could advance to habitual and severe acid reflux symptoms with a persistent cough and changes to your voice (stage 3). Although rare, some people may enter a fourth stage with severe symptoms that turn into precancerous lesions in the esophagus (food pipe) and throat. Following the advice of a healthcare professional may help you heal GERD permanently or manage symptoms. Strategies may include dietary changes, medications, and lifestyle modifications. For example, avoiding trigger foods and liquids, managing your weight, not using tobacco, limiting alcohol intake, and waiting 2–3 hours after eating to lie down. If these don’t help, you may need surgery."
536,GERD,Takeaway,"If you experience heartburn every so often, you’re not alone. Lifestyle changes and over-the-counter medications are usually enough to address these occasional instances. But if you’re experiencing heartburn more than twice per week and small lifestyle changes are not helping, you may be dealing with GERD. If you’ve received a diagnosis of GERD, your doctor will help you find a treatment plan that works for you. Don’t let persistent heartburn get in the way of living your life. Talk with a doctor if you believe you may have symptoms of GERD."
537,Gingivitis,Overview,"Gingivitis typically develops due to a bacterial infection caused by plaque overgrowth. Other viral or fungal infections may also cause it. Treatment can depend on the severity. Gingivitis is an inflammation of the gums, usually caused by a bacterial infection. If left untreated, it can become a more serious infection known as periodontitis. Gingivitis andperiodontitisare major causes of tooth loss in adults, according to theAmerican Dental Association."
538,Gingivitis,Types of gum infections,"Gingivitis is usually caused by an overgrowth of dental plaque. In addition to improper dental hygiene, there can be many contributing factors, such as: certain medications, such asphenytoin,cyclosporine,calcium channel blockers, andoral or injectable birth control(these medications can cause gingivitis or make it worse because they can lead to an overgrowth of gum tissue and make plaque hard to remove) severedeficiencies of vitamin C(this is rare in the United States) hormonal changes, including duringpregnancyandmenopause leukemia heavy metals like nickel, which can be found in some jewelry exposure to bismuth, which can be found in some makeup There are some types of gingivitis-causing gum infections that are not related to plaque overgrowth. These include: certain viral or fungal infections, such asthrush animpacted tooth, or tooth that doesn’t fully emerge (if this happens, the flap of gum over the tooth can trap debris and cause gingivitis)"
539,Gingivitis,What causes gingivitis?,"Your gums actually attach to the teeth at a lower point than the gum edges we see. This forms a small space called a sulcus. Food and plaque can get trapped in this space and cause a gum infection or gingivitis. Plaqueis a thin film of bacteria. It constantly forms on the surface of your teeth. As plaque advances, it hardens and becomestartar. You can develop a gum infection when plaque extends below the gum line. If left unchecked, gingivitis can cause the gums to separate from the teeth. This can cause: injury to the soft tissue and bone supporting the teeth the tooth to become loose and unstable the loss of the tooth, if infection progresses"
540,Gingivitis,Risk factors for gingivitis,"The following are risk factors for gingivitis and periodontitis: smokingor chewing tobacco diabetes certain medications, such as:oral contraceptivessteroidsanticonvulsantscalcium channel blockerschemotherapy oral contraceptives steroids anticonvulsants calcium channel blockers chemotherapy crooked teeth improper fit ondental appliances broken fillings pregnancy genetic factors suppressed immunity, such as withHIV Optum Now is operated by RVO Health. By clicking on this link, we may receive a commission.Learn more."
541,Gingivitis,What are the symptoms of gingivitis and periodontitis?,"Many people aren’t aware that they have gum disease. It’s possible to have gingivitis without any symptoms. However, the following can be symptoms of gum disease: gums that are red, tender, or swollen gums that bleed when you brush or floss your teeth gums that have pulled away from your teeth loose teeth a change in how your teeth fit together when you bite (malocclusion) pus between your teeth and gums pain when chewing sensitive teeth partial denturesthat no longer fit foul-smelling breath that doesn’t go away after you brush your teeth"
542,Gingivitis,When to see a dentist,"It’s important to contact a dentist if you think you might have gum disease because it can still be reversed at early stages. Contact a dentist if you have any symptoms of gum disease. Early signs are usually gums that are red, swollen, and bleeding easily. If you need help finding a dentist, then check out our FindCare tool here."
543,Gingivitis,How is gingivitis diagnosed?,"During a dental exam, your gums will be probed with a small ruler. This probing is a way to check for inflammation. It measures any pockets around your teeth. A typical depth is 1 to 3 millimeters. Your dentist may also order X-rays to check for bone loss. Speak with your dentist about risk factors for gum disease, as well as your symptoms. This can help diagnose gingivitis. If gingivitis is present, you may be referred to a periodontist. A periodontist is a dentist who specializes in the treatment of gum diseases."
544,Gingivitis,How is gingivitis treated?,"You must practicegood oral hygieneto treat gingivitis. You should also cut back on any smoking if you smoke and manage your diabetes if you live with this condition. Quitting smoking may be difficult, but a doctor can help build acessation planthat works for you. Other treatments include: deep cleaning your teeth antibiotic medications surgery There are several techniques that can be used to deep clean your teeth without surgery. They all remove plaque and tartar to prevent gum irritation: Scaling.Teeth scalingremoves tartar from above and below the gum line. Root planing. This smooths rough spots and removes plaque and tartar from the root surface. Lasers. This treatment may remove tartar with less pain and bleeding than scaling and root planing. A number of medications can be used to treat gum disease: Antiseptic mouthwashcontaining chlorhexidine can be used to disinfect your mouth. Timed-release antiseptic chipscontaining chlorhexidine can be inserted into pockets after root planing. Antibiotic microspheresmade with minocycline can be inserted into pockets after scaling and planing. Oral antibioticscan be used to treat persistent areas of gum inflammation. Doxycycline, an antibiotic, can help keep enzymes from causing tooth damage. If your gingivitis is severe, especially if it’s caused any gum or bone tissue loss, you may need surgery. Types of gum surgery, which is performed by a periodontist, include: Flap surgery.Flap surgeryis a procedure where the gums are lifted back while plaque and tartar is removed from deeper pockets. The gums are thensuturedin place to fit snugly around the tooth. Bone and tissue grafts.Grafting can be used when your teeth and jaw are too damaged to heal.Gum graftsurgery uses tissue from the roof of your mouth to cover the exposed tooth root. This helps prevent additional gum and bone loss.For abone graft, your doctor will start with a procedure similar to flap surgery, but they’ll put in a bone graft to encourage your body to regenerate any lost jaw bone. Gum graftsurgery uses tissue from the roof of your mouth to cover the exposed tooth root. This helps prevent additional gum and bone loss. For abone graft, your doctor will start with a procedure similar to flap surgery, but they’ll put in a bone graft to encourage your body to regenerate any lost jaw bone. Dental crown lengthening.Some people with gingivitis may have excess gum tissue. If this is the case, a periodontist canreshape your gum and bone tissueto expose more of your teeth. This may also be necessary before certain cosmetic or restorative procedures on your teeth."
545,Gingivitis,How can gum disease be prevented?,Proper and consistent oral hygiene can prevent gum disease. This includes: visiting the dentist regularly brushing your teeth twice daily withfluoridetoothpaste flossing your teeth every day Eating abalanced dietis also important to achieving and maintaining dental health.
546,Gingivitis,Health conditions associated with gum disease,"TheCenters for Disease Control and Prevention (CDC)and theNational Institute of Dental and Craniofacial Researchreport that periodontal disease is associated with an increased risk for: diabetes heart disease stroke lung disease It also increases the risk of a person giving birth to a premature or low birth weight infant. Although gum disease is associated with these health conditions, it hasn’t been shown to cause them. More research is needed to determine the specifics of this association."
547,Gout,Overview,"Gout can be treated and managed with medications and healthy lifestyle habits. Your doctor or nutritionist can help you develop the best treatment strategy for you. Gout is a general term for a variety of conditions caused by abuildup of uric acid. This buildup usually affects the feet. If you have gout, you’ll probably feel swelling and pain in the joints of your foot, particularly your big toe. Sudden and intense pain, or gout attacks, can make it feel like your foot is on fire."
548,Gout,Symptoms of gout,"Some people have too much uric acid in their blood but nosymptoms. This is called asymptomatichyperuricemia. For acute gout, symptoms come on quickly from the buildup of uric acid crystals in your joint and last for 3 to 10 days. You’ll have intense pain and swelling, and your joint may feel warm. Between gout attacks, you won’t have any symptoms. If you don’t treat gout, it can become chronic. Hard lumps called tophi can eventually develop in your joints and the skin and soft tissue surrounding them. These deposits can permanently damage your joints. Prompt treatment is important to prevent gout from turning chronic."
549,Gout,Gout pictures,
550,Gout,Gout home remedies,Somehome remediesmay help lower uric acid levels and prevent gout attacks. The following foods and drinks have been suggested for gout: tartcherries magnesium ginger dilutedapple cider vinegar celery nettle tea dandelion milk thistle seeds But these alone may not be enough to manage gout.
551,Gout,Treatment of gout,"If left untreated, gout can eventually lead to gouty arthritis, which is a more severe form ofarthritis. This painful condition can leave your joint permanently damaged and swollen. The treatment plan your doctor recommends will depend on the stage and severity of your gout. Medicationsto treat gout work in one of two ways: They relieve pain and bring down inflammation, or they prevent future gout attacks by lowering uric acid levels. Drugs to relieve gout pain include: nonsteroidal anti-inflammatory drugs (NSAIDs), such as aspirin (Bufferin), ibuprofen (Advil, Motrin), and naproxen (Aleve) colchicine(Colcrys, Mitigare) corticosteroids Drugs that prevent gout attacks include: xanthine oxidase inhibitors, such asallopurinol(Lopurin, Zyloprim) and febuxostat (Uloric) probenecid (Probalan) Along with medications, your doctor may recommend lifestyle changes to help manage your symptoms and reduce your risk of future gout attacks. For example, your doctor may encourage you to: reduce your alcohol intake, if you drink lose weight, if you’re overweight quit smoking, if you smoke In addition a fewcomplementary therapieshave also shown promise."
552,Gout,Gout surgery,"Gout can typically be treated withoutsurgery. But after many years, this condition can damage the joints, tear the tendons, and cause infections in the skin over the joints. Hard deposits, called tophi, can build up on your joints and in other places, like your ear. These lumps may be painful and swollen, and they can permanently damage your joints. Three surgical procedures treat tophi: tophi removal surgery joint fusion surgery joint replacement surgery Which one of these surgeries your doctor recommends depends on the extent of the damage, where the tophi are located, and your personal preferences."
553,Gout,Causes of gout,"The buildup of uric acid in your blood from the breakdown of purines causes gout. Certain conditions, such as blood and metabolism disorders or dehydration, make your body produce too much uric acid. A kidney or thyroid problem, or an inherited disorder, can make it harder for your body to remove excess uric acid. You’re more likely to get gout if you: are a middle-aged man or postmenopausal woman have parents, siblings, or other family members with gout drink alcohol take medications such asdiureticsandcyclosporine have a condition likehigh blood pressure,kidney disease,thyroid disease,diabetes, orsleep apnea For some people, gout is caused by consuming foods that arehigh in gout-producing purines."
554,Gout,Foods to avoid,"Certain foods are naturally high in purines, which your body breaks down into uric acid. Most people can tolerate high-purine foods. But if your body has trouble releasing excess uric acid, you may want to avoid certain foods and drinks, such as: red meats organ meats certain seafood alcohol Sugar-sweetened beverages and foods containing the sugar fructose can also be problematic, even though they don’t contain purines. Some foodshelp reduce uric acid levelsin the body and are good choices if you have gout. Alcohol, like red meat and seafood, is high in purines. When your body breaks down purines, the process releases uric acid. More uric acid increases your risk of having gout. Alcohol can also reduce the rate at which your body removes uric acid. Not everyone who drinks will develop gout. But a high consumption of alcohol (more than 12 drinks per week) can increase the risk — especially in men. Beer is more likely than liquor to influence the risk. In surveys, people have reported that drinking alcohol triggers their gout flare-ups."
555,Gout,Gout diagnosis,"Your doctor candiagnose goutbased on a review of your medical history, a physical exam, and your symptoms. Your doctor will likely base your diagnosis on: your description of your joint pain how often you’ve experienced intense pain in your joint how red or swollen the area is Your doctor may also order a test to check for a buildup of uric acid in your joint. A sample of fluid taken from your joint can show whether it contains uric acid. They may also want to take an X-ray of your joint. If you have symptoms of gout, you can start with a visit to your primary care doctor. If your gout is severe, you may need to see a specialist in joint diseases. If you need help finding a primary care doctor, then check out our FindCare tool here."
556,Gout,Gout triggers,"Certain foods, medications, and conditions canset off gout symptoms. You may need to avoid or limit foods and drinks like these, which are high in purines: red meat, such as pork and veal organ meats fish, such as cod, scallops, mussels, and salmon alcohol sodas fruit juice Some medications you take to manage other conditions increase the level of uric acid in your blood. Talk with your doctor if you take any of these drugs: diuretics, or water pills aspirin blood pressure-lowering medications, such as beta-blockers and angiotensin II receptor blockers Your health may also be a factor in flare-ups. All of these conditions have been linked to gout: obesity diabetes or prediabetes dehydration joint injury infections congestive heart failure high blood pressure kidney disease Sometimes it can be hard to pinpoint which of these factors is behind your gout attacks. Keeping a diary is one way to track your diet, medications, and health to help identify the cause of your symptoms."
557,Gout,Gout prevention,"Here are a few steps you can take to help prevent gout: Limit how much alcohol you drink. Limit how much purine-rich food, such as shellfish, lamb, beef, pork, and organ meat, you eat. Eat a low-fat, nondairy diet that’s rich in vegetables. Maintain a healthy weight. Avoid smoking. Exercise regularly. Stay hydrated. If you have medical conditions or take medications that raise your risk of gout, ask your doctor how you can lower your risk of gout attacks."
558,Gout,Gout with tophus,"When uric acid crystals build up in joints for a long time, they produce hard deposits calledtophiunder the skin. Without treatment, these tophi can damage bone and cartilage and leave the joints permanently disfigured. Tophi are swollen lumps around the joints that look like knots on a tree trunk. They occur in joints like the fingers, feet, and knees, as well as on the ears. Tophi themselves don’t hurt, but the inflammation they cause can be painful. Sometimes tophi form in connective tissue outside the joints."
559,Gout,Is gout painful?,"Yes, gout can be painful. In fact, pain in the big toe is often one of the first symptoms people report. The pain is accompanied by more typical arthritis symptoms, such as swelling and warmth in the joints. Gout pain can vary in severity. Pain in the big toe can be very intense at first. After the acute attack, it may subside to a dull ache. The pain, as well as swelling and other symptoms, are the result of the body launching a defense (by theimmune system) against uric acid crystals in the joints. This attack leads to the release of chemicals called cytokines, which promote painful inflammation."
560,Gout,Gout essential oils,"Essential oilsare plant-based substances used in aromatherapy. Some oils are thought to have anti-inflammatory, pain-relieving, and antibacterial effects. Some of theessential oils used to treat goutinclude: lemongrass oil celery seed oil yarrow oil extract olive leaf extract Chinese cinnamon Talk with your doctor before you begin using any essential oil. Be aware that the Food and Drug Administration (FDA) doesn’t regulate the purity or quality of essential oils, so research the brand. Be sure to follow these safety precautions when using essential oils: Don’t put essential oils directly on your skin. It’s important to dilute them first with acarrier oilsuch as coconut oil or jojoba oil. For example, for a 3 percent dilution, mix 20 drops of the essential oil with 6 teaspoons of the carrier oil. Don’t put essential oils in your mouth, since they’re not safe to ingest. Store essential oils and carrier oils in a cool, dark place, away from sunlight and heat."
561,Gout,Is gout hereditary?,"Gout is at least partly due to heredity. Researchers have found dozens of genes that increase people’s susceptibility to gout, includingSLC2A9andABCG2. Genes associated with gout affect the amount of uric acid the body holds onto and releases. Because of genetic factors, gout runs in families. People with a parent, sibling, or other close relative who has gout are more likely to get this condition themselves. It’s likely that genes only set the stage for gout. Environmental factors, such as diet, actually trigger the disease."
562,Gout,Takeaway,Gout can often be successfully treated and managed. Your doctor may prescribe medications that help lower your uric acid levels and reduce inflammation and pain. Your doctor or nutritionist can also recommend changes in your diet to help prevent flare-ups. Balanced eating and healthy lifestyle habits can help you successfully manage gout.
563,Hair Loss,Overview,"It’s typical to lose between 50 and 100 hairs a day, with about 100,000 hairs on your head, making this small loss not noticeable. New hair normally replaces the lost hair, but this doesn’t always happen. Hair loss can be caused by genetics (androgenic alopecia), autoimmune conditions (alopecia areata), or temporary factors like emotional/physical shock, hormonal changes from childbirth or menopause, or certain medications. The sooner you seek treatment for hair loss, the more likely you will be able to reverse or reduce the rate of hair loss. Some causes can’t be reversed, particularly if hair follicles are damaged from tight hairstyles, chemicals, or certain autoimmune diseases. Hair loss (alopecia) is a fairly common occurrence. While it’s more prevalent in older adults, anyone can experience it, including children. It’s typical to lose between50 and 100 hairs a day, according to the American Academy of Dermatology (AAD). With about 100,000 hairs on your head, that small loss isn’t noticeable. New hair normally replaces the lost hair, but this doesn’t always happen. Hair loss can develop gradually over years or happen abruptly. Depending on the underlying cause, it may be temporary or permanent. Trying to tell if you’re actually losing hair or just experiencing some normal shedding? Unsure if it’s time to see a doctor? Read on for more information about hair loss and how to manage it. Sex and gender exist on spectrums. For the purposes of this article, we use “male” and “female” to refer to a person’s sex assigned at birth.Learn more."
564,Hair Loss,Hair loss symptoms,"The main symptom of alopecia is losing more hair than usual, but this can be harder to identify than you might think. The following symptoms can provide some clues: Widening part.If you part your hair, you might start to notice your part getting wider, which can be a sign ofthinning hair. Receding hairline.Similarly, if you notice your hairline looking higher than usual, it may be a sign of thinning hair. Loose hair.Check your brush or comb after using it. Is it collecting more hair than usual? If so, this may be a sign of hair loss. Bald patches.These can range in size and can grow over time. Clogged drains.You might find that your sink or shower drains are clogged with hair. Pain or itching.If you have an underlying skin condition causing your hair loss, you might also feel pain or experience itching on your scalp."
